school,region,pct_eds,spg_score,enrollment,spg_grade
Philip J Weaver Ed Center,Piedmont Triad,19.8,91.0,292.0,A
West Iredell High,Southwest,62.4,51.0,800.0,D
Athens Drive High,North Central,44.3,75.0,1990.0,B
Pine Level Elementary,North Central,64.9,73.0,338.0,B
Rocky River High School,Southwest,69.2,55.0,1545.0,C
Pine Valley Elementary,Southeast,42.5,68.0,462.0,C
Pleasant Ridge Elementary,Southwest,64.1,50.0,873.0,D
Piney Grove Elementary,Sandhills,69.2,47.0,459.0,D
Locust Elementary,Southwest,34.4,78.0,488.0,B
Mount Olive Middle,Southeast,64.8,42.0,373.0,D
Southeast Middle,Piedmont Triad,69.1,39.0,810.0,F
Overhills Middle,North Central,59.4,55.0,794.0,C
Northridge Middle,Southwest,75.8,47.0,1082.0,D
Fairview Elementary,North Central,90.0,27.0,287.0,F
Carolina Beach Elementary,Southeast,32.5,73.0,435.0,B
McDougle Elementary,North Central,31.9,69.0,478.0,C
Rockingham Middle,Sandhills,62.9,51.0,605.0,D
Sam D Bundy Elementary,Northeast,65.5,51.0,373.0,D
Speas Elementary,Piedmont Triad,51.8,61.0,768.0,C
The Innovation Academy at South Campus,North Central,51.3,80.0,231.0,B
Coopers Elementary,North Central,60.8,67.0,548.0,C
Williston Middle,Southeast,73.4,37.0,670.0,F
Northside Elementary,North Central,47.5,61.0,381.0,C
Monroe Avenue Elementary,Sandhills,82.0,50.0,359.0,D
Sandy Grove Middle,Sandhills,51.7,53.0,635.0,D
North Hills Elementary,Piedmont Triad,86.8,35.0,456.0,F
Steele Creek Elementary,Southwest,76.6,56.0,456.0,C
Washington County High,Northeast,79.7,37.0,254.0,F
Elizabeth Lane Elementary,Southwest,13.2,86.0,716.0,A
Mitchell High,Northwest,51.5,62.0,484.0,C
Southwest Middle,Southeast,64.6,48.0,517.0,D
W C Friday Middle School,Southwest,74.0,49.0,603.0,D
Lakeforest Elementary,Northeast,76.4,47.0,786.0,D
Webb A Murray Elementary,Northwest,82.5,53.0,374.0,D
Chowan Middle,Northeast,68.2,45.0,424.0,D
Sherwood Githens Middle,North Central,59.7,63.0,758.0,C
Enloe High,North Central,26.5,84.0,2426.0,B
EP Pearce Elementary,Piedmont Triad,25.5,81.0,671.0,B
Bethel Middle,Western,54.7,79.0,238.0,B
Elizabeth City Middle,Northeast,62.1,56.0,505.0,C
Northwest Elementary,Northeast,76.1,32.0,333.0,F
Reedy Creek Elementary,North Central,58.0,48.0,585.0,D
Hertford Co Early College,Northeast,38.1,86.0,170.0,A
Scurlock Elementary,Sandhills,51.0,52.0,588.0,D
Childers Elementary,Southwest,66.5,62.0,398.0,C
River Gate Elementary,Southwest,57.2,60.0,717.0,C
Rock Springs Elementary,Southwest,21.7,78.0,632.0,B
Wendell Middle,North Central,69.5,39.0,721.0,F
Wake Young Women's Leadership Academy,North Central,31.3,84.0,344.0,B
Murphey Traditional Academy,Piedmont Triad,72.7,52.0,305.0,D
White Oak Elementary,North Central,5.0,94.0,775.0,A
Riverview Elementary,Northeast,70.4,42.0,307.0,D
North Lincoln Middle,Southwest,29.9,72.0,775.0,B
West Lake Middle,North Central,40.3,58.0,883.0,C
Robbins Elementary,Sandhills,84.6,51.0,360.0,D
