school,region,g_lat,g_lon,spg_grade,spg_score
Glendale Acres Elementary,Sandhills,35.0348,-78.9279,C,59.0
New Salem Elementary,Southwest,35.1295,-80.3709,B,72.0
G. C. Hawley Middle,North Central,36.10838,-78.67081,D,46.0
Clayton Middle,North Central,35.6447,-78.4849,C,62.0
Hope Mills Middle,Sandhills,34.9656,-78.9396,C,58.0
Chatham Grove Elementary,North Central,35.81432,-79.11487,B,81.0
Ceasar Cone Elementary,Piedmont Triad,36.1078,-79.7817,F,36.0
New Bridge Middle,Southeast,34.75134,-77.42556,B,72.0
Stough Elementary,North Central,35.83608,-78.69198,B,74.0
Discovery High School,Northwest,35.6796,-81.22237,A,85.0
West Columbus School,Sandhills,34.32892,-78.93106,F,38.0
North Rowan High,Southwest,35.6974,-80.4297,D,42.0
Northampton County High School,Northeast,36.51142,-77.65309,D,42.0
Brevard High,Western,35.2172,-82.7356,B,77.0
Sycamore Creek Elementary,North Central,35.9181,-78.7336,B,81.0
North Brunswick High,Southeast,34.2405,-78.0245,C,58.0
Arthur W Edwards Elementary,Southeast,34.9101,-76.9281,C,63.0
Sedgefield Elementary,Piedmont Triad,36.0291,-79.8653,F,38.0
Apex Friendship Middle,North Central,35.70086,-78.90804,A,88.0
Huntersville Elementary,Southwest,35.4116,-80.8469,B,84.0
Eastern Guilford High,Piedmont Triad,36.0925,-79.6161,D,52.0
Dixon High,Southeast,34.58513,-77.47956,C,68.0
Sedalia Elementary,Piedmont Triad,36.0678,-79.6269,D,50.0
Philip J Weaver Ed Center,Piedmont Triad,36.0703,-79.7983,A,91.0
West Iredell High,Southwest,35.7931,-80.9915,D,51.0
Athens Drive High,North Central,35.7687,-78.7113,B,75.0
Pine Level Elementary,North Central,35.5128,-78.2482,B,73.0
Rocky River High School,Southwest,35.21425,-80.64004,C,55.0
Pine Valley Elementary,Southeast,34.179,-77.8998,C,68.0
Pleasant Ridge Elementary,Southwest,35.25034,-81.20572,D,50.0
Piney Grove Elementary,Sandhills,34.6863,-79.0383,D,47.0
Locust Elementary,Southwest,35.2631,-80.4187,B,78.0
Mount Olive Middle,Southeast,35.2019,-78.0719,D,42.0
Southeast Middle,Piedmont Triad,36.0808,-80.0882,F,39.0
Overhills Middle,North Central,35.2484,-78.968,C,55.0
Northridge Middle,Southwest,35.2598,-80.7307,D,47.0
Fairview Elementary,North Central,35.9386,-77.7761,F,27.0
Carolina Beach Elementary,Southeast,34.031,-77.8998,B,73.0
McDougle Elementary,North Central,35.9297,-79.09901,C,69.0
Rockingham Middle,Sandhills,34.9451,-79.7632,D,51.0
Sam D Bundy Elementary,Northeast,35.5951,-77.5772,D,51.0
Speas Elementary,Piedmont Triad,36.1303,-80.2963,C,61.0
The Innovation Academy at South Campus,North Central,35.5021,-78.34036,B,80.0
Coopers Elementary,North Central,35.8852,-77.9475,C,67.0
Williston Middle,Southeast,34.2303,-77.9355,F,37.0
Northside Elementary,North Central,35.91754,-79.06317,C,61.0
Monroe Avenue Elementary,Sandhills,34.8969,-79.6985,D,50.0
Sandy Grove Middle,Sandhills,34.94422,-79.08866,D,53.0
North Hills Elementary,Piedmont Triad,36.1494,-80.2526,F,35.0
Steele Creek Elementary,Southwest,35.1569,-80.9557,C,56.0
Washington County High,Northeast,35.8703,-76.7387,F,37.0
Elizabeth Lane Elementary,Southwest,35.1126,-80.7474,A,86.0
Mitchell High,Northwest,35.9709,-82.1174,C,62.0
Southwest Middle,Southeast,34.741,-77.4778,D,48.0
W C Friday Middle School,Southwest,35.3338,-81.1832,D,49.0
Lakeforest Elementary,Northeast,35.5924,-77.4213,D,47.0
Webb A Murray Elementary,Northwest,35.7395,-81.2512,D,53.0
Chowan Middle,Northeast,36.2324,-76.6559,D,45.0
Sherwood Githens Middle,North Central,35.9446,-78.9808,C,63.0
Enloe High,North Central,35.7848,-78.6047,B,84.0
EP Pearce Elementary,Piedmont Triad,36.1446,-79.9377,B,81.0
Bethel Middle,Western,35.4728,-82.8946,B,79.0
Elizabeth City Middle,Northeast,36.36795,-76.27109,C,56.0
Northwest Elementary,Northeast,35.738,-77.4779,F,32.0
Reedy Creek Elementary,North Central,35.8127,-78.7658,D,48.0
Hertford Co Early College,Northeast,36.3248,-77.0236,A,86.0
Scurlock Elementary,Sandhills,34.9863,-79.1783,D,52.0
Childers Elementary,Southwest,35.4812,-81.3176,C,62.0
River Gate Elementary,Southwest,35.0875,-80.9772,C,60.0
Rock Springs Elementary,Southwest,35.5291,-81.0254,B,78.0
Wendell Middle,North Central,35.8043,-78.39426,F,39.0
Wake Young Women's Leadership Academy,North Central,35.77893,-78.65995,B,84.0
Murphey Traditional Academy,Piedmont Triad,36.0468,-79.8292,D,52.0
White Oak Elementary,North Central,35.78064,-78.92168,A,94.0
Riverview Elementary,Northeast,36.4385,-77.07633,D,42.0
North Lincoln Middle,Southwest,35.5118,-81.12,B,72.0
West Lake Middle,North Central,35.6604,-78.7605,C,58.0
Robbins Elementary,Sandhills,35.4195,-79.5735,D,51.0
Cape Fear Middle,Southeast,34.40565,-77.91583,D,51.0
Manteo High School,Northeast,35.9157,-75.6738,B,79.0
Yates Mill Elementary,North Central,35.7376,-78.7285,C,60.0
St James Elementary,Southwest,35.4853,-81.0161,B,73.0
Cartoogechaye Elementary,Western,35.1666,-83.4378,C,62.0
East Middle,Sandhills,35.33688,-79.77372,D,47.0
School of Inquiry and Life Sciences,Western,35.5727,-82.5523,B,81.0
Marie G Davis School,Southwest,35.20214,-80.8765,D,40.0
Gaston Virtual Academy,Southwest,35.24488,-81.22872,C,58.0
South Greenville Elementary,Northeast,35.59871,-77.38491,D,44.0
Wiley Elementary,North Central,35.78507,-78.65148,C,64.0
Henderson County Early College,Western,35.30667,-82.41993,A,96.0
Topsail Annandale Elementary School,Southeast,34.3953,-77.6779,A,85.0
Kimmel Farm Elementary,Piedmont Triad,36.008,-80.303,D,41.0
A L Stanback Middle,North Central,36.0271,-79.0779,D,53.0
Zebulon Middle,North Central,35.8318,-78.3132,C,55.0
Northwoods Park Middle,Southeast,34.7722,-77.4385,C,55.0
Tyrrell Elementary,Northeast,35.9139,-76.2421,C,62.0
Southeast Raleigh Elementary,North Central,35.76063,-78.6159,D,41.0
Western Harnett High,North Central,35.336,-78.9811,C,56.0
Vaughan Academy of Technology,Southwest,35.28561,-80.73388,C,60.0
Isaac M Bear Early College High School,Southeast,34.22052,-77.88122,A,94.0
Hamlet Middle,Sandhills,34.891,-79.7212,C,61.0
Fall Creek Elementary,Piedmont Triad,36.2295,-80.5887,B,72.0
Hendersonville Elementary,Western,35.3229,-82.4755,B,80.0
North Topsail Elementary,Southeast,34.3992,-77.6362,B,77.0
George Watts Elementary,North Central,36.0082,-78.9107,B,76.0
Pinewood Elementary,Southwest,35.3289,-80.9992,B,71.0
Greene Central High,Southeast,35.4799,-77.6703,C,58.0
Guilford eLearning University Prep,Piedmont Triad,36.04933,-79.778,D,44.0
Wakefield Elementary,North Central,35.9444,-78.5675,C,66.0
Maiden Elementary,Northwest,35.5783,-81.2108,C,66.0
White Oak High,Southeast,34.7685,-77.3484,C,61.0
Pleasant Union Elementary,North Central,35.9503,-78.6733,B,79.0
Atlantic Elementary,Southeast,34.8831,-76.3424,B,72.0
Dixon Road Elementary,North Central,35.5331,-78.5943,B,75.0
Selma Elementary,North Central,35.541,-78.2824,D,49.0
Highland Creek Elementary,Southwest,35.3783,-80.7633,B,70.0
Edwin A Alderman Elementary,Southeast,34.2061,-77.9074,C,57.0
Blackburn Elementary,Northwest,35.615,-81.3315,C,63.0
Onslow Virtual School,Southeast,34.74696,-77.44859,C,62.0
Highland Middle,North Central,35.30454,-79.03887,D,49.0
Camden Early College High,Northeast,36.32728,-76.17189,A,89.0
North Edgecombe High,North Central,35.9894,-77.5816,D,53.0
Joyner Elementary,North Central,35.8149,-78.6333,C,63.0
Holly Shelter Middle,Southeast,34.3506,-77.8909,C,68.0
Clara J Peck Elementary,Piedmont Triad,36.0512,-79.8181,D,53.0
Sanford Creek Elementary,North Central,35.9277,-78.4614,C,67.0
Northwest Halifax Collegiate and Technic,Northeast,36.38623,-77.78929,D,41.0
Clayton High,North Central,35.6499,-78.4653,C,64.0
Seagrove Elementary School,Piedmont Triad,35.5449,-79.776,C,62.0
Brunswick County Early College,Southeast,34.03859,-78.23032,A,93.0
Career Academy and Technical School,Southwest,35.71419,-80.88758,D,48.0
Brassfield Elementary,North Central,35.9336,-78.6288,B,70.0
Oberlin Middle,North Central,35.81371,-78.65777,B,71.0
Saint Stephens Elementary,Northwest,35.7329,-81.2734,F,38.0
Root Elementary,North Central,35.8257,-78.6506,B,74.0
Reynolds Middle,Western,35.54879,-82.47764,C,63.0
Creekside Elementary,Southeast,35.027,-77.0216,B,78.0
Lexington Middle School,Piedmont Triad,35.8335,-80.2455,D,45.0
Gray's Creek High,Sandhills,34.9221,-78.9046,B,70.0
Carolina Forest Elementary,Southeast,34.8115,-77.4098,C,65.0
Rosman Elementary,Western,35.14381,-82.82742,C,66.0
Rolesville Middle,North Central,35.9141,-78.4791,D,54.0
McDowell Academy for Innovation,Northwest,35.6562,-81.96213,A,95.0
E M Rollins Elementary,North Central,36.3191,-78.4184,D,42.0
Charles H. Parker Academic Center,Southwest,35.2104,-80.8888,C,67.0
C Wayne Collier Elementary,Sandhills,34.9743,-78.9828,D,48.0
Columbus Career and College Academy ,Sandhills,34.332,-78.7824,C,64.0
Craven Virtual Academy,Southeast,35.09715,-77.09626,C,62.0
South Toe Elementary,Northwest,35.8405,-82.1881,B,72.0
East Burke Middle,Northwest,35.71539,-81.46809,C,65.0
Harold E. Winkler Middle,Southwest,35.3915,-80.649,C,68.0
Marion Elementary School,Northwest,35.691,-82.0067,C,69.0
Pinehurst Elementary,Sandhills,35.1996,-79.4629,A,85.0
P W Moore Elementary,Northeast,36.2896,-76.2286,D,51.0
Mineral Springs Elementary,Piedmont Triad,36.1574,-80.23549,F,37.0
Roanoke Rapids Early College High,Northeast,36.45809,-77.6542,B,80.0
Surry Early College,Piedmont Triad,36.38438,-80.71683,A,87.0
Watauga High,Northwest,36.21642,-81.65112,B,82.0
Trent Park Elementary,Southeast,35.1094,-77.0804,C,62.0
Pickett Elementary School,Piedmont Triad,35.8458,-80.2648,D,52.0
W P Grier Middle School,Southwest,35.2535,-81.1548,F,37.0
Lumberton Senior High,Sandhills,34.6464,-78.9984,C,61.0
Highcroft Elementary,North Central,35.8009,-78.8842,A,91.0
Traphill Elementary School,Northwest,36.3463,-81.0295,C,55.0
North Davidson Middle,Piedmont Triad,35.92677,-80.24579,C,69.0
Ronald E. McNair Elementary,Piedmont Triad,36.16046,-79.77356,D,47.0
Connect Academy,Sandhills,35.21275,-79.37636,C,69.0
Roaring River Elementary School,Northwest,36.2087,-81.0038,D,53.0
Robert L. Patton High School,Northwest,35.7029,-81.67,B,77.0
Ashley Academy,Piedmont Triad,36.1177,-80.2217,D,42.0
Porter Ridge Middle School,Southwest,35.0894,-80.5715,B,76.0
Petree Elementary,Piedmont Triad,36.1132,-80.1914,F,38.0
Providence Spring Elementary,Southwest,35.0728,-80.7698,A,89.0
Meadowview Magnet Middle,Piedmont Triad,36.4817,-80.6536,C,64.0
Union Elementary,Southwest,35.3897,-81.6192,D,53.0
Davie County High,Piedmont Triad,35.97175,-80.53595,C,67.0
Bartlett Yancey High,Piedmont Triad,36.4033,-79.3273,D,51.0
East Gaston High,Southwest,35.3154,-81.0756,C,69.0
William T Brown Elementary,Sandhills,35.16,-78.9652,D,45.0
B F Grady Elementary,Southeast,35.05732,-77.82911,D,44.0
Koontz Intermediate,Western,35.484,-82.5398,C,56.0
Pembroke Middle,Sandhills,34.6748,-79.211,D,47.0
John W Dillard Academy,Piedmont Triad,36.39906,-79.97763,D,49.0
Leesville Road Elementary,North Central,35.8876,-78.7187,B,70.0
Enka Middle,Western,35.5522,-82.6647,D,52.0
Valmead Elementary,Northwest,35.9372,-81.5403,F,28.0
Murphy Elementary,Western,35.0899,-84.0305,C,61.0
PSRC Early College at RCC,Sandhills,34.6759,-79.0074,A,92.0
Lufkin Road Middle,North Central,35.7199,-78.8297,B,73.0
Shelby High,Southwest,35.2746,-81.5384,C,56.0
Westover Middle,Sandhills,35.0844,-78.9901,D,53.0
Paisley IB Magnet School,Piedmont Triad,36.11275,-80.25998,F,38.0
Reid Park Academy,Southwest,35.205,-80.9054,D,42.0
Flat Rock Elementary,Piedmont Triad,36.51319,-80.56887,C,59.0
Robinson Elementary,Southwest,35.2133,-81.1645,D,52.0
Reidsville Middle,Piedmont Triad,36.32853,-79.68039,F,39.0
North Stanly Middle,Southwest,35.40965,-80.2348,D,43.0
Greenwood Middle,Southeast,35.3669,-77.9414,C,56.0
Tuckaseegee Elementary,Southwest,35.2495,-80.942,D,45.0
Lake Myra Elementary,North Central,35.76146,-78.43015,C,56.0
Dobson Elementary,Piedmont Triad,36.3949,-80.7264,C,63.0
Swain County Middle School,Western,35.4233,-83.4487,C,58.0
Avery's Creek Elementary,Western,35.4776,-82.5792,C,55.0
Fairgrove Elementary School,Sandhills,34.4933,-79.17371,D,42.0
Rosenwald Elementary,Sandhills,34.5021,-79.119,F,32.0
Middle Creek High,North Central,35.6673,-78.7603,B,78.0
Carver Elementary,Southeast,35.1999,-78.0519,D,43.0
Kiser Elementary,Southwest,35.3617,-81.0916,C,58.0
Mount Pleasant Middle,Southwest,35.41086,-80.48104,C,59.0
Cook Literacy Model School,Piedmont Triad,36.1081,-80.2568,D,50.0
West McDowell Middle School,Northwest,35.7003,-82.0403,C,55.0
Roseboro-Salemburg Middle,Sandhills,34.95025,-78.51301,D,42.0
James Love Elementary,Southwest,35.2659,-81.5671,C,55.0
Wallace-Rose Hill High,Southeast,34.7712,-77.9997,D,50.0
Sharon Elementary,Southwest,35.153,-80.8175,A,85.0
Estes Elementary,Western,35.4879,-82.5401,C,67.0
Central Elementary,Piedmont Triad,36.5047,-79.7307,D,51.0
Charles B Aycock High,Southeast,35.5091,-77.9801,C,62.0
Wilkesboro Elementary School,Northwest,36.1328,-81.1767,C,68.0
William H Owen Elementary,Sandhills,35.042,-78.9541,D,52.0
Blowing Rock Elementary,Northwest,36.13246,-81.67618,B,78.0
Roanoke Valley Early College,Northeast,36.42816,-77.61753,C,60.0
Granite Quarry Elementary,Southwest,35.6102,-80.4477,F,37.0
Clement Elementary,Sandhills,35.10525,-78.58962,C,61.0
Piedmont High,Southwest,35.0954,-80.4915,B,78.0
Sandy Ridge Elementary,North Central,36.0577,-78.8715,C,63.0
Mount Holly Middle,Southwest,35.2972,-81.0237,C,59.0
Pinnacle Elementary School,Piedmont Triad,36.3283,-80.4369,C,62.0
West Hoke Middle,Sandhills,34.986,-79.2479,C,56.0
Pumpkin Center Primary,Southwest,35.51773,-81.13599,C,67.0
Crown Point Elementary,Southwest,35.1599,-80.715,C,61.0
Town Creek Middle,Southeast,34.14086,-78.08589,D,50.0
W B Beam Intermediate School,Southwest,35.3815,-81.3772,D,54.0
Sharon Elementary,Southwest,35.7704,-81.0612,B,76.0
Jessie Mae Monroe Elementary,Southeast,33.9479,-78.5479,C,60.0
Agriculture and Science Early College,Southwest,35.93041,-80.86774,A,85.0
Beverly Hills Elementary,Southwest,35.4319,-80.5967,C,69.0
South Johnson Elementary,Sandhills,34.75232,-79.44413,D,50.0
Southport Elementary,Southeast,33.9251,-78.032,C,67.0
North Buncombe High,Western,35.7397,-82.5576,B,74.0
Charles England Elementary School,Piedmont Triad,35.81726,-80.23922,C,59.0
Granville Central High,North Central,36.21341,-78.68707,C,55.0
Polenta Elementary,North Central,35.5679,-78.5124,C,64.0
Northeast Elementary,Southeast,35.28086,-77.56105,F,35.0
Billingsville Elementary,Southwest,35.1964,-80.8096,C,59.0
Winter Park Model Elementary,Southeast,34.2115,-77.8823,B,77.0
J N Fries Magnet School,Southwest,35.3663,-80.5936,C,66.0
