school,region,locale,spg_score,pct_eds
Selma Elementary,North Central,Rural,49.0,66.7
Highland Creek Elementary,Southwest,City,70.0,37.0
Edwin A Alderman Elementary,Southeast,City,57.0,68.7
Blackburn Elementary,Northwest,Rural,63.0,57.3
Onslow Virtual School,Southeast,City,62.0,50.6
Highland Middle,North Central,Rural,49.0,65.5
Camden Early College High,Northeast,Rural,89.0,16.3
North Edgecombe High,North Central,Rural,53.0,68.9
Joyner Elementary,North Central,City,63.0,29.8
Holly Shelter Middle,Southeast,City,68.0,49.1
Clara J Peck Elementary,Piedmont Triad,City,53.0,77.1
Sanford Creek Elementary,North Central,City,67.0,36.4
Northwest Halifax Collegiate and Technic,Northeast,Rural,41.0,71.9
Clayton High,North Central,Rural,64.0,42.2
Seagrove Elementary School,Piedmont Triad,Rural,62.0,69.6
Brunswick County Early College,Southeast,Rural,93.0,37.8
Career Academy and Technical School,Southwest,Rural,48.0,13.6
Brassfield Elementary,North Central,City,70.0,39.0
Oberlin Middle,North Central,City,71.0,32.4
Saint Stephens Elementary,Northwest,Rural,38.0,79.6
Root Elementary,North Central,City,74.0,34.2
Reynolds Middle,Western,Suburb,63.0,60.5
Creekside Elementary,Southeast,Town,78.0,29.1
Lexington Middle School,Piedmont Triad,Town,45.0,72.8
Gray's Creek High,Sandhills,City,70.0,42.7
Carolina Forest Elementary,Southeast,City,65.0,49.7
Rosman Elementary,Western,Town,66.0,72.0
Rolesville Middle,North Central,City,54.0,37.9
McDowell Academy for Innovation,Northwest,Rural,95.0,52.7
E M Rollins Elementary,North Central,Rural,42.0,79.6
Charles H. Parker Academic Center,Southwest,City,67.0,44.4
C Wayne Collier Elementary,Sandhills,City,48.0,62.2
Columbus Career and College Academy ,Sandhills,Rural,64.0,47.3
Craven Virtual Academy,Southeast,Town,62.0,8.5
South Toe Elementary,Northwest,Rural,72.0,65.7
East Burke Middle,Northwest,Rural,65.0,70.9
Harold E. Winkler Middle,Southwest,Rural,68.0,42.9
Marion Elementary School,Northwest,Rural,69.0,75.2
Pinehurst Elementary,Sandhills,Rural,85.0,18.1
P W Moore Elementary,Northeast,Rural,51.0,75.3
Mineral Springs Elementary,Piedmont Triad,City,37.0,78.1
Roanoke Rapids Early College High,Northeast,Town,80.0,37.3
Surry Early College,Piedmont Triad,Rural,87.0,58.4
Watauga High,Northwest,Rural,82.0,32.7
Trent Park Elementary,Southeast,Town,62.0,66.0
Pickett Elementary School,Piedmont Triad,Town,52.0,76.1
W P Grier Middle School,Southwest,Suburb,37.0,71.7
Lumberton Senior High,Sandhills,Rural,61.0,60.2
Highcroft Elementary,North Central,City,91.0,7.5
Traphill Elementary School,Northwest,Rural,55.0,61.5
North Davidson Middle,Piedmont Triad,Rural,69.0,43.6
Ronald E. McNair Elementary,Piedmont Triad,City,47.0,65.2
Connect Academy,Sandhills,Rural,69.0,39.1
Roaring River Elementary School,Northwest,Rural,53.0,54.8
Robert L. Patton High School,Northwest,Rural,77.0,55.2
Ashley Academy,Piedmont Triad,City,42.0,84.0
Porter Ridge Middle School,Southwest,Rural,76.0,40.4
Petree Elementary,Piedmont Triad,City,38.0,80.5
Providence Spring Elementary,Southwest,City,89.0,5.0
Meadowview Magnet Middle,Piedmont Triad,Rural,64.0,74.9
Union Elementary,Southwest,Rural,53.0,78.3
Davie County High,Piedmont Triad,Rural,67.0,42.5
Bartlett Yancey High,Piedmont Triad,Rural,51.0,64.0
East Gaston High,Southwest,Suburb,69.0,48.6
William T Brown Elementary,Sandhills,City,45.0,75.3
B F Grady Elementary,Southeast,Rural,44.0,53.1
Koontz Intermediate,Western,Suburb,56.0,51.0
Pembroke Middle,Sandhills,Rural,47.0,70.1
John W Dillard Academy,Piedmont Triad,Town,49.0,65.1
Leesville Road Elementary,North Central,City,70.0,29.8
Enka Middle,Western,Suburb,52.0,65.1
Valmead Elementary,Northwest,Suburb,28.0,86.6
Murphy Elementary,Western,Rural,61.0,57.0
PSRC Early College at RCC,Sandhills,Rural,92.0,45.0
Lufkin Road Middle,North Central,City,73.0,32.0
Shelby High,Southwest,Rural,56.0,67.6
Westover Middle,Sandhills,City,53.0,68.4
Paisley IB Magnet School,Piedmont Triad,City,38.0,68.2
Reid Park Academy,Southwest,City,42.0,73.1
Flat Rock Elementary,Piedmont Triad,Rural,59.0,70.7
Robinson Elementary,Southwest,Suburb,52.0,63.7
Reidsville Middle,Piedmont Triad,Town,39.0,66.2
North Stanly Middle,Southwest,Rural,43.0,53.9
Greenwood Middle,Southeast,Rural,56.0,54.9
Tuckaseegee Elementary,Southwest,City,45.0,64.7
Lake Myra Elementary,North Central,City,56.0,52.7
Dobson Elementary,Piedmont Triad,Rural,63.0,61.6
Swain County Middle School,Western,Rural,58.0,65.1
Avery's Creek Elementary,Western,Suburb,55.0,68.4
Fairgrove Elementary School,Sandhills,Rural,42.0,78.4
Rosenwald Elementary,Sandhills,Rural,32.0,85.5
Middle Creek High,North Central,City,78.0,27.0
Carver Elementary,Southeast,Rural,43.0,68.3
Kiser Elementary,Southwest,Suburb,58.0,66.4
Mount Pleasant Middle,Southwest,Rural,59.0,46.7
Cook Literacy Model School,Piedmont Triad,City,50.0,90.8
West McDowell Middle School,Northwest,Rural,55.0,67.7
Roseboro-Salemburg Middle,Sandhills,Rural,42.0,68.0
James Love Elementary,Southwest,Rural,55.0,82.2
Wallace-Rose Hill High,Southeast,Rural,50.0,48.7
Sharon Elementary,Southwest,City,85.0,13.1
Estes Elementary,Western,Suburb,67.0,52.4
Central Elementary,Piedmont Triad,Town,51.0,64.0
Charles B Aycock High,Southeast,Rural,62.0,37.9
Wilkesboro Elementary School,Northwest,Rural,68.0,44.7
William H Owen Elementary,Sandhills,City,52.0,67.8
Blowing Rock Elementary,Northwest,Rural,78.0,19.8
Roanoke Valley Early College,Northeast,Rural,60.0,42.3
Granite Quarry Elementary,Southwest,Rural,37.0,64.2
Clement Elementary,Sandhills,Rural,61.0,60.3
Piedmont High,Southwest,Rural,78.0,31.9
Sandy Ridge Elementary,North Central,City,63.0,71.7
Mount Holly Middle,Southwest,Suburb,59.0,63.9
Pinnacle Elementary School,Piedmont Triad,Rural,62.0,66.3
West Hoke Middle,Sandhills,Town,56.0,63.4
Pumpkin Center Primary,Southwest,Rural,67.0,47.4
Crown Point Elementary,Southwest,City,61.0,74.2
Town Creek Middle,Southeast,Rural,50.0,41.9
W B Beam Intermediate School,Southwest,Suburb,54.0,65.8
Sharon Elementary,Southwest,Rural,76.0,61.2
Jessie Mae Monroe Elementary,Southeast,Rural,60.0,61.6
Agriculture and Science Early College,Southwest,Rural,85.0,36.2
Beverly Hills Elementary,Southwest,Rural,69.0,68.2
South Johnson Elementary,Sandhills,Town,50.0,75.5
Southport Elementary,Southeast,Rural,67.0,49.4
North Buncombe High,Western,Suburb,74.0,43.6
Charles England Elementary School,Piedmont Triad,Town,59.0,76.8
Granville Central High,North Central,Rural,55.0,75.1
Polenta Elementary,North Central,Rural,64.0,45.5
Northeast Elementary,Southeast,Rural,35.0,86.3
Billingsville Elementary,Southwest,City,59.0,55.1
Winter Park Model Elementary,Southeast,City,77.0,56.2
J N Fries Magnet School,Southwest,Rural,66.0,43.1
South Harnett Elementary,North Central,Rural,47.0,63.3
Fairview Elementary,Western,Rural,62.0,56.6
Bailey Elementary,North Central,Rural,55.0,76.5
Glenwood Elementary,North Central,Suburb,84.0,19.8
Lucama Elementary,North Central,Rural,83.0,70.4
Concord High,Southwest,Rural,59.0,66.5
Central Elementary,Northeast,Rural,53.0,40.4
East Forsyth Middle School,Piedmont Triad,City,36.0,69.6
Marvin Ridge Middle,Southwest,Rural,92.0,5.0
Drexel Elementary,Northwest,Rural,73.0,77.1
C C Griffin Middle,Southwest,Rural,56.0,56.9
Alma O Easom Elementary,Sandhills,City,73.0,44.7
Currituck County Middle,Northeast,Rural,54.0,44.2
Lakewood High,Sandhills,Rural,64.0,60.7
Scotland High School,Sandhills,Town,53.0,66.0
East Columbus Junior-Senior High,Sandhills,Rural,47.0,54.0
Williams Township,Sandhills,Rural,55.0,55.4
Washington Elementary,Piedmont Triad,City,49.0,76.6
ISS Virtual Academy,Southwest,Rural,62.0,13.3
Union Elementary,Sandhills,Rural,61.0,78.4
Apex Friendship High,North Central,City,88.0,10.0
Bessemer Elementary,Piedmont Triad,City,44.0,79.0
Grimsley High,Piedmont Triad,City,75.0,47.0
